INFO   08:45:13 : Id:315180540991; 休眠电流:3.00uA; 接收电流:22.02mA; 电压:3.26V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:40 : Id:315180540926; 休眠电流:3.00uA; 接收电流:22.68mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:45:55 : Id:315180542273; 休眠电流:0.00uA; 接收电流:22.47mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:46:07 : Id:315180542273; 休眠电流:0.00uA; 接收电流:22.49mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:09 : Id:315180540890; 休眠电流:0.00uA; 接收电流:22.18mA; 电压:3.33V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:21 : Id:315180540890; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:39 : Id:315180542273; 休眠电流:3.00uA; 接收电流:22.61mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:01 : Id:315180540810; 休眠电流:3.00uA; 接收电流:22.51mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:23 : Id:315180542337; 休眠电流:3.00uA; 接收电流:22.67mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:48 : Id:315180540855; 休眠电流:0.00uA; 接收电流:0.00mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:49:09 : Id:315180540855; 休眠电流:3.00uA; 接收电流:22.42mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:30 : Id:315180542731; 休眠电流:3.00uA; 接收电流:22.68mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:00 : Id:315180542753; 休眠电流:0.00uA; 接收电流:22.69mA; 电压:3.33V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:50:24 : Id:315180542753; 休眠电流:3.00uA; 接收电流:22.64mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:45 : Id:315180542596; 休眠电流:0.00uA; 接收电流:22.02mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:50:58 : Id:315180542596; 休眠电流:0.00uA; 接收电流:22.08mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:51:23 : Id:315180540948; 休眠电流:3.33uA; 接收电流:22.29mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:42 : Id:315180542849; 休眠电流:0.00uA; 接收电流:22.41mA; 电压:3.33V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:51:58 : Id:315180542849; 休眠电流:3.00uA; 接收电流:22.42mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:27 : Id:315180542437; 休眠电流:3.00uA; 接收电流:22.40mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:45 : Id:315180542252; 休眠电流:3.00uA; 接收电流:22.42mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:03 : Id:315180542148; 休眠电流:3.00uA; 接收电流:22.54mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:19 : Id:315180540729; 休眠电流:3.00uA; 接收电流:22.71mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:35 : Id:315180542818; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:56 : Id:315180542579; 休眠电流:3.00uA; 接收电流:22.23mA; 电压:3.26V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:16 : Id:315180542381; 休眠电流:3.00uA; 接收电流:22.26mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:32 : Id:315180542571; 休眠电流:3.00uA; 接收电流:22.16mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:48 : Id:315180542440; 休眠电流:3.00uA; 接收电流:22.50mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:12 : Id:315180542507; 休眠电流:3.00uA; 接收电流:22.36mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:31 : Id:315180542521; 休眠电流:3.00uA; 接收电流:22.18mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:47 : Id:315180542269; 休眠电流:3.00uA; 接收电流:22.54mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:04 : Id:315180542397; 休眠电流:3.00uA; 接收电流:22.64mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:21 : Id:315180540759; 休眠电流:3.33uA; 接收电流:22.62mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:41 : Id:315180540870; 休眠电流:3.00uA; 接收电流:22.44mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:55 : Id:315180540697; 休眠电流:0.00uA; 接收电流:22.62mA; 电压:0.00V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:57:08 : Id:315180540697; 休眠电流:3.00uA; 接收电流:22.71mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:23 : Id:315180542514; 休眠电流:3.00uA; 接收电流:22.50mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:38 : Id:315180540779; 休眠电流:3.00uA; 接收电流:22.47mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:57:56 : Id:315180542467; 休眠电流:3.33uA; 接收电流:22.23mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:12 : Id:315180542509; 休眠电流:3.33uA; 接收电流:22.41mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:33 : Id:315180540906; 休眠电流:3.00uA; 接收电流:22.28mA; 电压:3.38V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:58:50 : Id:315180540874; 休眠电流:0.00uA; 接收电流:22.34mA; 电压:3.38V; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:59:03 : Id:315180540874; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:30 : Id:315180542799; 休眠电流:3.00uA; 接收电流:22.41mA; 电压:3.40V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:59:44 : Id:315180542491; 休眠电流:3.00uA; 接收电流:22.66mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:03 : Id:315180540602; 休眠电流:3.00uA; 接收电流:22.41mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:18 : Id:315180542639; 休眠电流:2.67uA; 接收电流:22.55mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:33 : Id:315180542289; 休眠电流:3.00uA; 接收电流:22.39mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:00:49 : Id:315180542386; 休眠电流:3.33uA; 接收电流:22.18mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:10 : Id:315180542250; 休眠电流:3.00uA; 接收电流:22.55mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:24 : Id:315180540971; 休眠电流:3.33uA; 接收电流:22.46mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:42 : Id:315180542453; 休眠电流:3.00uA; 接收电流:22.50mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:01:57 : Id:315180542505; 休眠电流:3.00uA; 接收电流:22.20mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:14 : Id:315180540701; 休眠电流:3.00uA; 接收电流:22.48mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:35 : Id:315180542643; 休眠电流:3.00uA; 接收电流:22.21mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:02:52 : Id:315180540900; 休眠电流:3.00uA; 接收电流:22.25mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:10 : Id:315180542340; 休眠电流:2.67uA; 接收电流:22.81mA; 电压:3.31V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:28 : Id:315180540852; 休眠电流:3.00uA; 接收电流:22.43mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:03:50 : Id:315180542510; 休眠电流:3.67uA; 接收电流:22.64mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:04:37 : Id:315180542312; 休眠电流:3.00uA; 接收电流:23.04mA; 电压:3.33V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:07 : Id:315180542462; 休眠电流:3.00uA; 接收电流:22.48mA; 电压:3.24V; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   09:05:24 : Id:315180542400; 休眠电流:3.00uA; 接收电流:22.34mA; 电压:3.29V; 测试结果:成功; 上传结果:失败 上传功能未开启
